code,title,credits,description,prerequisites
ACCT 2101,Accounting I: Financial Accounting,3,"A study of the underlying theory and application of financial accounting concepts. These concepts include measurement principles, financial statement preparation, and introductory financial analysis.",
ACCT 2102,Accounting II: Managerial Accounting,3,"A study of the underlying theory and application of managerial accounting concepts. These concepts include cost measurement, decision making, budgeting, and variance analysis.",
AE 1355,Aerospace Systems Design Competition I,3,"Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical role commensurate with freshman standing.",
AE 1601,Introduction to Aerospace Engineering,1,"Overview of aerospace engineering. Common terminology, introduction to use of engineering models, professional and ethical standards and experience with team-based design of aerospace systems. Students cannot receive credit for both AE 1601 and",Credit restriction: AE 1601 and; Credit restriction: both AE 1601 and
AE 1750,Introduction to Bioengineering,3,"An introduction to the field of bioengineering, including the application of engineering principles and methods to problems in biology and medicine, the integration of engineering with biology, and the emerging industrial opportunities. Crosslisted with BMED, CHE, ECE, ME, and MSE 1750 . AE 1XXX.  Aerospace Engineering Elective.  1-21 Credit Hours.","BMED, CHE, ECE, ME, and MSE 1750"
AE 2010,Thermodynamics & Fluids Fundamentals,4,"Thermodynamic and fluid properties. Conservation laws, Isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices. Students cannot receive credit for both AE 2010 and AE 3450 .",Credit restriction: AE 2010 and AE 3450; Credit restriction: both AE 2010 and AE 3450
AE 2010R,AE 2010 Recitation,0,This recitation is an optional session in support of AE 2010 . This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,
AE 2011,Fluid Fundamentals,2,"Flowfield concepts, fluid properties, conservation equations for flows, isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices.",
AE 2011R,AR 2011 Recitation,0,This recitation is an optional session in support of AE 2011 . This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,
AE 2220,Dynamics,3,"Motion of particles and mass center of bodies, kinematics and kinetics of rigid bodies in plane motion, work-energy and impulse-momentum methods, 3-D dynamics of rigid bodies.",
AE 2220R,AE 2220 Recitation,0,This recitation is an optional session in support of AE 2220 . This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,
AE 2221,3D Dynamics,1,Kinematics and kinetics of rigid bodies in three-dimensional motion.,
AE 2221R,AE 2221 Recitation,0,This recitation is an optional session in support of AE 2221 . This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions.,
AE 2355,Aerospace Systems Design Competition II,3,"Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical role commensurate with sophomore standing.",
AE 2610,Introduction to Experimental Methods in Aerospace,1,"Introduction to laboratory instrumentation and measurement techniques used in aerospace. Basic application of sensor principles, uncertainty analysis, interpretation and analysis of experimental data, and documentation.",
AE 2611,Technical Communications for Aerospace Engineers,1,"Development of technical communication skills required by aerospace engineers. Includes written, oral and visual communication methods.",
AE 2801,Special Topics,1,Normally taken by sophomores. Course material devoted to special topics in aerospace engineering.,
