title,description,prerequisites,prereq_text
CS 1100 - Freshman Leap Seminar,"Small group discussions with first year students are led by one or more faculty members and include a variety of foundational, motivational, and topical subjects for computationalist.",[],
CS 1171 - Computing in MATLAB,For students with a solid introductory computing background needing to demonstrate proficiency in the MATLAB language.,"['CS 1315', 'CS 1301']",CS 1301 or CS 15XX or CS 13X1 or CS 1315
CS 1301 - Intro to Computing,"Introduction to computing principles and programming practices with an emphasis on the design, construction and implementation of problem solutions use of software tools.",[],
CS 1315 - Intro Media Computation,"Introduction to computation (algorithmic thinking, data structures, data transformation and processing, and programming) in a media and communication context. Credit not awarded for both CS 4452 and CS 1315.","['CS 4452', 'CS 1315']",
CS 1316 - Rep Structure & Behavior,"Modeling the structure of media (e.g., music, graphical scenes) using dynamic data structures. Designing objects as encapsulations of structure and behavior. Algorithms for simulating objects. May not be taken for credit by students who have credit for CS 1322.","['CS 1371', 'CS 1315', 'CS 1301', 'CS 1322']",CS 1301 or CS 1315 or CS 1371
CS 1331 - Intro-Object Orient Prog,"Introduction to techniques and methods of object-oriented programming such an encapsulation, inheritance, and polymorphism. Emphasis on software development and individual programming skills.","['CS 1371', 'CS 1315', 'CS 1321', 'CS 1301']",CS 1301 or CS 1315 or CS 1321 or CS 1371
CS 1332 - Data Struct & Algorithms,Computer data structures and algorithms in the context of object-oriented programming. Focus on software development towards applications.,"['CS 1331', 'CS 1322']",CS 1322 or CS 1331
CS 1371 - Computing for Engineers,Foundations of computing with an introduction to design and analysis of algorithms and an introduction to design and construction of programs for engineering problem-solving.,[],
CS 1372 - Program Design for Engrs,"Design, analysis and implementation of programs for engineering problem-solving using ANSI Standard C, with an introduction to C++.","['CS 1301', 'CS 1171', 'CS 1371']",CS 1171 or CS 1371 or CS 1301
CS 1801 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 1802 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 1803 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 1804 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 1805 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 2050 - Intro Discrete Math CS,"Proof methods, strategy, correctness of algorithms over discrete structures.  Induction and recursion.  Complexity and order of growth.  Number theoretic principles and algorithms.  Counting and computability.  Credit not allowed for both CS 2050 and CS 2051.","['CS 2050', 'CS 2051']",
CS 2051 - Honors Discrete Math CS,"Proof methods, strategy, correctness of algorithms over discrete structures.  Induction and recursion.  Complexity and order of growth.  Number theoretic principles and algorithms.  Counting and computability.  Credit not allowed for both CS 2051 and CS 2050.","['CS 2050', 'CS 2051']",
CS 2110 - Computer Organiz&Program,"An introduction to basic computer hardware, machine language, assembly language, and C programming.",['CS 1331'],CS 1331
CS 2200 - Systems and Networks,A broad exposure to computer system structure and networking including software abstractions in operating systems for orchestrating the usage of the computing resources.,"['ECE 2020', 'CS 2110', 'ECE 2035']",CS 2110 or (ECE 2020 and ECE 2035 )
CS 2261 - Media Device Architectur,"Controlling the interface between hardware and software in media devices. Machine-level programming (e.g., in C) to create graphics, generate sound, and support user interaction.",['CS 1331'],CS 1331
CS 2316 - Data Input/Manipulation,"Reading, manipulating, and exporting data for engineering, business, and scientific applications.  Covers GUI's, File I/O, basic SQL, and web scraping.  Emphasis on software development.","['CS 1315', 'CS 1301', 'CS 1371']",CS 1371 or CS 1301 or CS 1315
CS 2335 - Software Practicum,"Methods for solving large programming problems. Techniques for quality assurance, managing programs, working in teams, analyzing problems, and producing effective solutions.",['CS 1332'],CS 1332
CS 2340 - Objects and Design,"Object-oriented programming methods for dealing with large programs.  Focus on quality processes, effective debugging techniques, and testing to assure a quality product.","['CS 1331', 'CS 1372', 'CS 1316']",CS 1331 or CS 1372 or CS 1316
CS 2345 - Adv Practical O-O Prog,"This course presents important programming principles that should be considered when using a non-automatic memory management complex language (such as C++). Templating, generic programming, resource acquisition is initialization (RAII), and smart pointers are a few examples. Credit not awarded for both CS 2345 and ECE 2036.","['ECE 2035', 'CS 2345', 'CS 2261', 'ECE 2036', 'CS 2110', 'ECE 2020', 'CS 2340']",CS 2340 and ( (CS 2110 or CS 2261 ) or (ECE 2020 and ECE 2035 ) )
CS 2600 - Knowledge Rep & Process,Introduction to the representation and manipulation of complex symbolic and sub-symbolic information.,"['CS 1371', 'CS 1315', 'CS 1301']",CS 1301 or CS 1315 or CS 1371
CS 2701 - Startup Lab,"Elements of technology venture creation including opportunity identification and validation, ideation, customer discovery, markey analysis, minimum viable product development, business models, intellectual property, and capital raises. Cross-listed with COE 2701.",['COE 2701'],
CS 2801 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 2802 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 2803 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 2804 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 2805 - Special Topics,"Courses of timely interest to the profession, conducted by resident or visiting faculty.",[],
CS 3001 - Computing & Society,"Examines the role and impact of information and communication technology in society, with emphasis on ethical, professional, and public policy issues.",[],
CS 3101 - Comp Sci Ventures,"Students will learn how computer-science-based ventures are developed.  The course is project-based.  Students propose, analylze, pitch, design, implement, package and market web-2.0 and virtual-world-based products and services.","['CS 1371', 'CS 1315', 'CS 1301']",CS 1301 or CS 1315 or CS 1371
CS 3210 - Design-Operating Systems,"Operating systems concepts, including multi-threading, scheduling, synchronization, communication, and access control.  Projects will cover design and implementation of several operating systems components.","['ECE 3058', 'ECE 3057', 'CS 2200']",CS 2200 or ECE 3057 or ECE 3058
CS 3220 - Processor Design,"Principles in pipelined processor design, with emphasis on the need for a close interaction between code generation and architecture.","['ECE 3058', 'ECE 2031', 'ECE 3057', 'CS 2200']",(CS 2200 or ECE 3057 or ECE 3058 ) and ECE 2031
CS 3235 - Intro Infor Security,"Terms/concepts for threats; controls; problem definition; comprehensive information security model; security for operating systems, databases, network/distributed systems; administering security","['ECE 3058', 'ECE 3057', 'CS 2200']",CS 2200 or ECE 3057 or ECE 3058
CS 3237 - Human Dimension Cybersec,"This course will illuminate the human dimension of cybersecurity, and explore the attitudes, behaviors and perceptions associated with different stakeholders in cybersecurity.","['CS 1371', 'CS 1315', 'CS 1301']",CS 1301 or CS 1315 or CS 1371
CS 3240 - Languages and Computation,"Interpreters as abstract machines and the tools used to construct them, such as scanners and parsers. An introduction to models of computation as embodied by different programming languages.  Limits of and relationships between these models.",['CS 2340'],CS 2340
CS 3251 - Computer Networking I,"Introduction to problems in computer networking, including error recovery, medium access, routing, flow control, and transport. Emphasis on current best practice.  Includes programming of networked applications.","['ECE 3058', 'ECE 3057', 'CS 2200']",CS 2200 or ECE 3057 or ECE 3058
CS 3300 - Intro to Software Engr,Team-based project class to introduce and apply software engineering principles and practices.,['CS 2340'],CS 2340
CS 3311 - Project Design,"Part 1 of a 2 semester project design and implementation sequence conjoined with Technical Communications. Prepare requirements, design and project plans.  Develop a basic prototype of the desired system. Project is completed in CS 3312-Project Implementation. Credit will not be awared for CS 3311 and CS 4911.","['SLS 3110', 'CS 3311', 'CS 4001', 'CS 3001', 'CS 4002', 'CS 4003', 'CS 4911', 'LMC 3432', 'CS 2340', 'CS 4726', 'CS 3312']",CS 2340 and (CS 3001 or CS 4001 or CS 4002 or CS 4003 or CS 4726 or SLS 3110 )
CS 3312 - Project Implementation,The second part of a 2 semester project design and implementation sequence conjoined with Technical Communications. Implement a project designed in CS 3311. Credit will not be awarded for CS 3312 and CS 4911.,"['CS 3311', 'LMC 3431', 'CS 4911', 'LMC 3432', 'CS 2340', 'CS 3312']",CS 2340 and LMC 3432
CS 3451 - Computer Graphics,"Geometric constuctions; transformations; perception; reflection models; photorealistic; non-photorealistic, and image-based rendering; rendering software and API's; triangle-mesh processing; graphic acceleration; user-interaction, design and animation.","['MATH 2550', 'CS 1332', 'CS 2261', 'MATH 2605', 'CS 2110', 'CS 2340', 'ECE 2020', 'MATH 2551', 'MATH 2561', 'MATH 2401', 'MATH 2411', 'ECE 2035']",(MATH 2605 or MATH 2401 or MATH 2411 or MATH 24X1 or MATH 2551 or MATH 2550 or MATH 2561 or MATH 2X51 ) and ( (CS 2110 or CS 2261 ) or (ECE 2020 and ECE 2035 ) ) and (CS 1332 and CS 2340 )
CS 3510 - Dsgn&Analysis-Algorithms,Basic techniques of design and analysis of efficient algorithms for standard computational problems. NP-Completeness.  Credit not allowed for both CS 3510 and CS 3511.,"['CS 3511', 'MATH 3012', 'CS 1332', 'MATH 3022', 'CS 2050', 'CS 3510', 'CS 2051', 'MATH 2106']",(CS 2050 or CS 2051 or MATH 2106 ) and (CS 1332 or MATH 3012 or MATH 3022 )
CS 3511 - Algorithms Honors,Techniques of design and analysis of efficient algorithms for standard computational problems.  NP-Completeness Project.  Credit not allowed for both CS 3511 and CS 3510.,"['CS 3511', 'MATH 3012', 'CS 1332', 'MATH 3022', 'CS 2050', 'CS 3510', 'CS 2051', 'MATH 2106']",(CS 2050 or CS 2051 or MATH 2106 ) and (CS 1332 or MATH 3012 or MATH 3022 )
CS 3600 - Intro-Artificial Intell,"An introduction to artificial intelligence and machine learning. Topics include intelligent system design methodologies, search and problem solving, supervised and reinforced learning.",['CS 1332'],CS 1332
CS 3630 - Intro-Perception&Robotic,Covers fundamental problems and leading solutions for computer and robot perception and action from the point of view of autonomous robot navigation.,['CS 1332'],CS 1332
CS 3651 - Prototyping Intelligent Device,Hands-on course teaching the fundamentals of electronics of electrical and mechanical prototyping.,['ECE 2031'],ECE 2031
CS 3743 - Emerging Technologies,"Analysis of emerging technologies and their impacts for firm practice, market practice, policy, and society. Credit not allowed for both CS 3743 and MGT 3743 or ME 3743.","['CS 3743', 'MGT 3743', 'ME 3743']",
CS 3744 - Mangn Prod Serv Tech Dev,Analysis of the managerial challenges of the product development process.,[],
CS 3750 - User Interface Design,Human computer interface is considered in terms of user-system compatibility. Concepts in human factors and interface design are covered in relation to capabilities of both humans and computers. Crosslisted with PSYC 3750.,['PSYC 3750'],
CS 3751 - Intro UI Design,Describes the characteristics of interaction between humans and computers and demonstrates techniques for the design and evaluation of user interfaces and computational systems.,[],
