title,description,prerequisites,prereq_text
MATH 0399 - Support for Precalculus,Practicum for Learning Support students enrolled in MATH 1113 (Precalculus).,[],
MATH 0999 - Support for MATH 1111,"This Learning Support course provides corequisite support in mathematics for students enrolled in MATH 1111 – College Algebra. Topics will parallel topics being studied in MATH 1111 and the course will provide support for the essential quantitative skills needed to be successful in MATH 1111. Taken with MATH 1111, this course provides an in-depth study of the properties of algebraic, exponential and logarithmic functions as needed for calculus. Emphasis is on using algebraic and graphical techniques for solving problems involving linear, quadratic, piece-wise defined, rational, polynomial, exponential and logarithmic functions.",[],
MATH 1111 - College Algebra,"This course provides an in-depth study of the properties of algebraic, exponential and logarithmic functions as needed for calculus. Emphasis is on using algebraic and graphical techniques for solving problems involving linear, quadratic, piece-wise defined, rational, polynomial, exponential and logarithmic functions.",[],Learning Support Math 2 3 or MATH 0099
MATH 1113 - Pre-calculus,"This course is an intensive study of the basic functions needed for the study of calculus. Topics include algebraic, functional, and graphical techniques for solving problems with algebraic, exponential, logarithmic, and trigonometric functions and their inverses. May only be used for degree credit with departmental approval.",['MATH 1111'],MATH 1111 or SAT Mathematics 500 or MATH SECTION SCORE 530 or ACT Math 21
MATH 1501 - Calculus I,Differential calculus and basic integral calculus including the fundamental theorem of calculus. Credit not allowed for both MATH 1501 and 1712.,['MATH 1113'],MATH 1113 or SAT Mathematics 600 or Converted ACT Math 600
MATH 1503 - Calculus I For Life Sci,"Differential and basic calculus: sequences, difference equations, limits, continuity, differentiation, integration, applications.  The topics parallel those of MATH 1501 with applications from life sciences.",['MATH 1113'],SAT Mathematics 600 or Converted ACT Math 600 or MATH 1113
MATH 1504 - Calculus II For Life Sci,"Taylor approximations, introduction to differential equations, linear algebra, and introduction to multivariable calculus.  Motivating examples drawn from life sciences.","['MATH 1501', 'MATH 1503', 'MATH 1511']",MATH 1503 or MATH 1501 or MATH 1511 or MATH 15X1 or SAT Mathematics 600 or Converted ACT Math 600
MATH 1512 - Honors Calculus II,The topics covered parallel those of 1502 with a somewhat more intensive and rigorous treatment.  Credit not allowed for both honors calculus and the corresponding regular calculus course.  Credit not allowed for both MATH 1512 and MATH 1522.  Credit not allowed for both MATH 1512 and MATH 15X2.,"['MATH 1501', 'MATH 1511']",MATH 1501 or MATH 1511
MATH 1550 - Intro to Diff Calculus,"An introduction to differential calculus including applications and the underlying theory of limits for functions and sequences. Credit not awarded for both MATH 1550 and MATH 1501, MATH 1551, or MATH 1503.",['MATH 1113'],(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or ACT Math 26
MATH 1551 - Differential Calculus,"Differential calculus including applications and the underlying theory of limits for functions and sequences. Credit not awarded for both MATH 1551 and MATH 1501, MATH 1503, or MATH 1550.",['MATH 1113'],(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or ACT Math 26
MATH 1552 - Integral Calculus,"Integral calculus: Definite and indefinite integrals, techniques of integration, improper integrals, infinite series, applications. Credit not awarded for both MATH 1552 and MATH 1502, MATH 1504, MATH 1512 or MATH 1555.","['MATH 1501', 'MATH 1551', 'MATH 1550']",MATH 1550 or MATH 1551 or MATH 1501 or MATH 15X1 or MATH 1X51
MATH 1553 - Intro to Linear Algebra,"An introduction to linear alegbra including eigenvalues and eigenvectors, applications to linear systems, least squares. Credit not awarded for both MATH 1553 and MATH 1522, MATH 1502, MATH 1504, MATH 1512, MATH 1554 or MATH 1564.","['MATH 1551', 'MATH 1113']",(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or ACT Math 26 or MATH 15X1 or MATH 1X51 or MATH 1551
MATH 1554 - Linear Algebra,"Linear algebra eigenvalues, eigenvectors, applications to linear systems, least squares, diagnolization, quadratic forms.","['MATH 1552', 'MATH 1551', 'MATH 1113']",(MATH 1113 or MATH 11X3 ) or ACT Math 26 or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or MATH 1552 or MATH 15X2 or MATH 1X52 or MATH 1551
MATH 1555 - Calculus Life Sciences,"Overview of intergral calculus, multivariable calculus, and differential equations for biological sciences. Credit not awarded for both MATH 1555 and MATH 1552, MATH 1502, MATH 1504, MATH 1512 or MATH 2550.","['MATH 1501', 'MATH 1551', 'MATH 1550']",MATH 1550 or MATH 1551 or MATH 1501 or MATH 1X51 or MATH 15X1 or MATH 1X54
MATH 1564 - LinAlg w Abstract Vec Sp,"This is an intensive first course in linear algebra including the theories of linear transformations and abstract vector spaces. Credit not awarded for both MATH 1564 and MATH 1553, MATH 1554, MATH 1522, MATH 1502, MATH 1504 or MATH 1512.",['MATH 1552'],Math: Calculus AB 5 or Math: Calculus BC 5 or MATH 1552
MATH 1601 - Intro to Higher Math,This course is designed to teach problem solving and proof writing.  Mathematical subject matter is drawn from elementary number theory and geometry.,"['MATH 1501', 'MATH 1511']",MATH 1501 or MATH 1511 or MATH 15X1
MATH 1711 - Finite Mathematics,"Linear equations, matrices, linear programming, sets and counting, probability and statistics.",['MATH 1113'],SAT Mathematics 550 or MATH SECTION SCORE 570 or Converted ACT Math 550 or (MATH 1113 or MATH 11X3 ) or ACT Math 24
MATH 1712 - Survey of Calculus,"Techniques of differentiation, integration, application of integration to probability and statistics, multidimensional calculus. Credit not allowed for both MATH 1712 and 1501.",['MATH 1113'],(MATH 1113 or MATH 11X3 ) or SAT Mathematics 550 or MATH SECTION SCORE 570 or Converted ACT Math 550 or ACT Math 24
MATH 1803 - Special Topics,Courses on special topics of current interest in Mathematics.,[],
MATH 2106 - Foundations Math Proof,"An introduction to proofs in advanced mathematics, intended as a transition to upper division courses including Abstract Algebra I and Analysis I.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2406 - Abstract Vector Spaces,"A proof-based development of linear algebra and vector spaces, with additional topics such as multilinear algebra and group theory.","['MATH 1512', 'MATH 1522', 'MATH 1502']",MATH 1502 or MATH 1512 or (MATH 15X2 and MATH 1522 )
MATH 2550 - Intro Multivariable Calc,"Vectors in three dimensions, curves in space, functions of several variables, partial derivatives, optimization, integration of functions of several variables. Vector Calculus not covered. Credit will not be awarded for both MATH 2550 and MATH 2605 or MATH 2401 or MATH 2551 or MATH 1555.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1502', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2551 - Multivariable Calculus,"Multivariable calculus: Linear approximation and Taylor's theorems, Lagrange multiples and constrained optimization, multiple integration and vector analysis including the theorems of Green, Gauss, and Stokes. Credit will not be awarded for both MATH 2551 and MATH 2401 or MATH 2411 or MATH 2561.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2552 - Differential Equations,Methods for obtaining numerical and analytic solutions of elementary differential equations. Applications are also discussed with an emphasis on modeling. Credit not awarded for both MATH 2552 and MATH 2403 or MATH 2413 or MATH 2562.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2561 - Honors Multivar Calculus,The topics covered parallel those of MATH 2551 with a somewhat more intensive and rigorous treatment. Credit not awarded for both MATH 2561 and MATH 2401 or MATH 2411 or MATH 2551.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
